date,open,high,low,close
2014-10-31,19.99,20.20,19.93,20.20
2014-11-03,20.18,20.55,20.18,20.36
2014-11-04,20.50,20.65,20.35,20.47
2014-11-05,20.51,20.55,20.27,20.30
2014-11-06,20.36,20.40,20.01,20.01
2014-11-07,20.08,20.18,19.90,20.13
2014-11-10,20.17,20.84,20.17,20.74
2014-11-11,20.80,20.87,20.66,20.69
2014-11-12,20.50,20.58,20.01,20.10
2014-11-13,20.18,20.34,20.11,20.30
2014-11-14,20.31,20.44,20.22,20.32
2014-11-17,20.51,20.60,19.93,20.06
2014-11-18,20.12,20.25,19.80,19.90
2014-11-19,19.95,20.47,19.95,20.38
2014-11-20,20.50,20.92,20.50,20.91
2014-11-21,20.93,21.03,20.87,20.94
2014-11-24,21.05,21.40,21.00,21.02
2014-11-25,21.04,21.20,20.82,21.10
2014-11-26,21.07,21.13,20.97,21.06
2014-11-27,21.18,21.57,21.18,21.35
2014-11-28,21.35,21.46,21.29,21.40
2014-12-01,20.90,21.31,20.61,21.03
2014-12-02,20.80,20.90,20.45,20.55
2014-12-03,20.68,21.26,20.58,21.21
2014-12-04,21.43,21.58,21.32,21.42
2014-12-05,21.33,21.43,21.22,21.32
2014-12-08,21.40,21.46,21.10,21.17
2014-12-09,21.00,21.06,20.90,20.92
2014-12-10,20.80,20.91,20.32,20.38
2014-12-11,20.31,20.47,20.12,20.35
2014-12-12,20.36,20.58,20.33,20.35
2014-12-15,20.16,20.29,19.99,20.29
2014-12-16,20.20,20.36,20.12,20.12
2014-12-17,20.12,20.12,19.48,19.57
2014-12-18,19.90,19.90,19.58,19.61
2014-12-19,20.05,20.37,20.03,20.22
2014-12-22,20.34,20.68,20.34,20.68
2014-12-23,20.77,20.88,20.68,20.72
2014-12-24,20.72,21.03,20.72,21.00
2014-12-25,21.09,21.09,20.95,21.00
2014-12-26,21.00,21.18,21.00,21.16
2014-12-27,21.25,21.30,21.20,21.29
2014-12-29,21.28,21.67,21.28,21.60
2014-12-30,21.69,21.76,21.43,21.44
2014-12-31,21.45,21.55,21.34,21.53
2015-01-05,21.25,21.43,20.95,21.37
2015-01-06,20.85,20.87,20.26,20.35
2015-01-07,20.34,20.55,20.33,20.46
2015-01-08,20.80,21.28,20.80,21.23
2015-01-09,21.54,21.54,21.12,21.14
2015-01-12,20.92,21.14,20.86,20.91
2015-01-13,20.90,21.29,20.83,21.12
2015-01-14,21.15,21.16,20.78,20.85
2015-01-15,20.94,21.06,20.70,20.90
2015-01-16,20.90,21.20,20.54,20.66
2015-01-19,21.00,21.27,20.84,20.95
2015-01-20,21.07,21.36,21.01,21.31
2015-01-21,21.40,21.63,21.40,21.59
2015-01-22,21.79,21.99,21.71,21.81
2015-01-23,24.86,24.86,22.26,22.38
2015-01-26,22.38,22.41,22.22,22.37
2015-01-27,22.70,22.75,22.44,22.58
2015-01-28,22.48,22.67,22.45,22.61
2015-01-29,22.57,22.57,22.11,22.18
2015-01-30,22.20,22.32,22.00,22.00
2015-02-02,22.00,22.15,21.88,21.99
2015-02-03,22.12,22.40,22.06,22.30
2015-02-04,22.50,22.78,22.50,22.67
2015-02-05,22.63,22.63,22.41,22.56
2015-02-06,22.69,22.69,22.33,22.33
2015-02-09,22.30,22.30,22.11,22.25
2015-02-10,22.25,22.28,22.10,22.13
2015-02-11,22.30,22.55,22.30,22.46
2015-02-12,22.46,22.55,22.38,22.48
2015-02-13,22.61,22.79,22.61,22.73
2015-02-24,22.97,23.21,22.94,23.16
2015-02-25,23.33,23.50,23.28,23.43
2015-02-26,23.30,23.34,23.10,23.20
2015-03-02,23.27,23.36,23.00,23.01
2015-03-03,23.19,23.19,22.86,23.03
2015-03-04,22.81,23.09,22.81,23.08
2015-03-05,23.13,23.13,22.73,22.95
2015-03-06,22.95,23.08,22.80,23.05
2015-03-09,22.91,22.91,22.63,22.75
2015-03-10,22.75,22.75,22.45,22.58
2015-03-11,22.35,22.65,22.22,22.60
2015-03-12,22.61,22.90,22.53,22.90
2015-03-13,22.90,23.03,22.83,22.83
2015-03-16,22.83,22.83,22.58,22.58
2015-03-17,22.77,23.04,22.62,22.66
2015-03-18,22.66,23.10,22.66,23.00
2015-03-19,23.30,23.60,23.30,23.57
2015-03-20,23.55,23.57,23.43,23.52
2015-03-23,23.52,23.63,23.44,23.53
2015-03-24,23.51,23.55,23.29,23.38
2015-03-25,23.35,23.40,23.16,23.24
2015-03-26,22.80,22.92,22.67,22.84
2015-03-27,22.82,22.82,22.40,22.46
2015-03-30,22.45,22.56,22.40,22.46
2015-03-31,22.73,22.77,22.51,22.68
2015-04-01,22.60,22.60,22.28,22.34
2015-04-02,22.54,22.86,22.53,22.85
2015-04-07,22.92,22.95,22.85,22.93
2015-04-08,22.90,22.90,22.56,22.67
2015-04-09,22.65,23.03,22.57,22.57
2015-04-10,22.75,23.00,22.75,22.87
2015-04-13,22.96,23.05,22.91,23.05
2015-04-14,22.96,23.01,22.83,22.98
2015-04-15,22.93,22.93,22.30,22.36
2015-04-16,22.49,22.83,22.49,22.83
2015-04-17,22.79,22.79,22.57,22.61
2015-04-20,22.50,22.62,22.27,22.53
2015-04-21,22.65,22.70,22.43,22.47
2015-04-22,22.51,22.87,22.51,22.87
2015-04-23,22.95,23.99,22.95,23.91
2015-04-24,24.12,24.76,24.10,24.40
2015-04-27,24.70,24.90,24.53,24.78
2015-04-28,24.78,24.90,24.49,24.60
2015-04-29,24.62,24.78,24.13,24.21
2015-04-30,24.19,24.30,23.99,24.10
2015-05-04,24.20,24.20,23.80,24.17
2015-05-05,24.10,24.10,23.75,23.84
2015-05-06,23.65,23.98,23.52,23.88
2015-05-07,23.61,23.62,23.36,23.40
2015-05-08,23.44,23.56,23.35,23.35
