date,open,high,low,close
2016-01-04,2.22,2.24,2.14,2.24
2016-01-05,2.26,2.27,2.19,2.22
2016-01-06,2.11,2.19,2.10,2.15
2016-01-07,2.02,2.10,1.95,1.95
2016-01-08,1.99,2.03,1.90,1.91
2016-01-11,1.95,1.96,1.83,1.92
2016-01-12,1.97,2.02,1.91,1.99
2016-01-13,2.01,2.03,1.77,1.78
2016-01-14,1.80,1.94,1.72,1.90
2016-01-15,1.71,1.78,1.65,1.72
2016-01-19,1.79,1.80,1.67,1.73
2016-01-20,1.65,1.77,1.53,1.71
2016-01-21,1.73,1.79,1.67,1.72
2016-01-22,1.82,1.87,1.80,1.87
2016-01-25,1.85,1.88,1.78,1.78
2016-01-26,1.81,1.86,1.76,1.83
2016-01-27,1.80,1.82,1.67,1.70
2016-01-28,1.78,1.78,1.68,1.76
2016-01-29,1.77,1.88,1.76,1.88
2016-02-01,1.85,1.91,1.83,1.89
2016-02-02,1.87,1.87,1.75,1.77
2016-02-03,1.80,1.80,1.65,1.75
2016-02-04,1.73,1.78,1.68,1.74
2016-02-05,1.73,1.73,1.54,1.56
2016-02-08,1.48,1.51,1.41,1.49
2016-02-09,1.43,1.54,1.42,1.47
2016-02-10,1.53,1.58,1.49,1.49
2016-02-11,1.44,1.52,1.42,1.49
2016-02-12,1.53,1.56,1.49,1.55
2016-02-16,1.62,1.65,1.59,1.65
2016-02-17,1.70,1.78,1.68,1.77
2016-02-18,1.79,1.79,1.70,1.71
2016-02-19,1.69,1.74,1.67,1.73
2016-02-22,1.77,1.81,1.77,1.81
2016-02-23,1.78,1.79,1.72,1.72
2016-02-24,1.66,1.78,1.63,1.77
2016-02-25,1.78,1.82,1.73,1.82
2016-02-26,1.86,1.86,1.80,1.81
2016-02-29,1.81,1.85,1.77,1.77
2016-03-01,1.81,1.94,1.80,1.93
2016-03-02,1.93,1.94,1.89,1.94
2016-03-03,1.93,1.93,1.89,1.93
2016-03-04,1.93,1.97,1.89,1.93
2016-03-07,1.90,1.93,1.85,1.89
2016-03-08,1.85,1.90,1.84,1.84
2016-03-09,1.87,1.88,1.84,1.88
2016-03-10,1.91,1.94,1.80,1.87
2016-03-11,1.93,1.97,1.92,1.97
2016-03-14,1.95,1.99,1.95,1.98
2016-03-15,1.96,1.98,1.94,1.98
2016-03-16,1.96,2.05,1.96,2.03
2016-03-17,2.01,2.04,1.99,2.02
2016-03-18,2.04,2.05,2.00,2.03
2016-03-21,2.03,2.07,2.02,2.06
2016-03-22,2.03,2.09,2.02,2.08
2016-03-23,2.07,2.07,2.01,2.03
2016-03-24,2.00,2.03,1.99,2.03
2016-03-28,2.05,2.05,2.01,2.02
2016-03-29,2.01,2.12,2.00,2.12
2016-03-30,2.15,2.19,2.13,2.15
2016-03-31,2.14,2.17,2.13,2.13
2016-04-01,2.10,2.21,2.09,2.21
2016-04-04,2.20,2.21,2.17,2.17
2016-04-05,2.13,2.15,2.11,2.12
2016-04-06,2.13,2.22,2.13,2.22
2016-04-07,2.18,2.19,2.10,2.13
2016-04-08,2.17,2.18,2.10,2.12
2016-04-11,2.15,2.18,2.10,2.10
2016-04-12,2.10,2.16,2.06,2.15
2016-04-13,2.20,2.24,2.19,2.23
2016-04-14,2.23,2.26,2.22,2.23
2016-04-15,2.23,2.24,2.19,2.22
2016-04-18,2.19,2.25,2.19,2.25
2016-04-19,2.27,2.27,2.17,2.21
2016-04-20,2.21,2.25,2.19,2.22
2016-04-21,2.21,2.24,2.19,2.22
2016-04-22,2.13,2.15,2.06,2.12
2016-04-25,2.09,2.12,2.08,2.11
2016-04-26,2.13,2.13,2.07,2.09
2016-04-27,2.02,2.05,1.98,2.04
2016-04-28,2.04,2.08,1.95,1.96
2016-04-29,1.96,1.97,1.88,1.93
2016-05-02,1.94,1.99,1.92,1.98
2016-05-03,1.94,1.97,1.91,1.93
2016-05-04,1.89,1.91,1.88,1.89
2016-05-05,1.91,1.92,1.88,1.89
2016-05-06,1.86,1.92,1.86,1.92
2016-05-09,1.92,1.96,1.92,1.94
2016-05-10,1.96,2.02,1.95,2.02
2016-05-11,2.01,2.02,1.96,1.96
2016-05-12,1.98,1.98,1.89,1.93
2016-05-13,1.93,1.96,1.90,1.91
2016-05-16,1.92,2.00,1.92,1.98
2016-05-17,1.98,2.00,1.89,1.91
2016-05-18,1.90,1.96,1.88,1.93
2016-05-19,1.91,1.92,1.86,1.90
2016-05-20,1.92,1.98,1.92,1.96
2016-05-23,1.97,1.99,1.95,1.95
2016-05-24,1.99,2.08,1.98,2.07
2016-05-25,2.10,2.13,2.08,2.12
2016-05-26,2.12,2.14,2.11,2.13
2016-05-27,2.13,2.17,2.13,2.17
2016-05-31,2.17,2.19,2.15,2.17
2016-06-01,2.15,2.19,2.15,2.18
2016-06-02,2.17,2.19,2.13,2.19
2016-06-03,2.18,2.18,2.12,2.16
2016-06-06,2.17,2.20,2.16,2.19
2016-06-07,2.19,2.19,2.17,2.17
2016-06-08,2.18,2.19,2.15,2.17
2016-06-09,2.15,2.17,2.14,2.17
2016-06-10,2.11,2.12,2.07,2.10
2016-06-13,2.06,2.10,2.04,2.04
2016-06-14,2.03,2.06,2.00,2.04
2016-06-15,2.06,2.06,2.02,2.03
2016-06-16,2.00,2.05,1.96,2.04
2016-06-17,2.03,2.03,1.96,1.97
2016-06-20,2.04,2.07,2.00,2.01
2016-06-21,2.02,2.04,2.00,2.03
2016-06-22,2.03,2.07,2.01,2.01
2016-06-23,2.06,2.10,2.03,2.10
2016-06-24,1.88,1.97,1.83,1.84
2016-06-27,1.80,1.80,1.71,1.73
2016-06-28,1.79,1.85,1.79,1.84
2016-06-29,1.89,1.95,1.88,1.94
2016-06-30,1.95,2.01,1.93,2.01
2016-07-01,2.01,2.06,2.00,2.04
2016-07-05,2.01,2.01,1.97,2.00
2016-07-06,1.97,2.05,1.95,2.05
2016-07-07,2.06,2.08,2.04,2.07
2016-07-08,2.10,2.17,2.09,2.16
2016-07-11,2.19,2.22,2.18,2.19
2016-07-12,2.24,2.25,2.23,2.23
2016-07-13,2.25,2.25,2.22,2.22
2016-07-14,2.26,2.28,2.25,2.26
2016-07-15,2.28,2.28,2.24,2.25
2016-07-18,2.26,2.31,2.25,2.30
2016-07-19,2.27,2.29,2.26,2.27
2016-07-20,2.31,2.36,2.30,2.35
2016-07-21,2.36,2.37,2.32,2.34
2016-07-22,2.34,2.37,2.32,2.36
2016-07-25,2.36,2.36,2.34,2.36
2016-07-26,2.36,2.40,2.34,2.37
2016-07-27,2.43,2.44,2.39,2.42
2016-07-28,2.43,2.45,2.40,2.44
2016-07-29,2.46,2.48,2.44,2.46
2016-08-01,2.47,2.52,2.46,2.50
2016-08-02,2.49,2.50,2.40,2.44
2016-08-03,2.44,2.47,2.43,2.47
2016-08-04,2.47,2.50,2.44,2.49
2016-08-05,2.53,2.58,2.52,2.56
2016-08-08,2.56,2.57,2.53,2.55
2016-08-09,2.56,2.59,2.55,2.57
2016-08-10,2.57,2.57,2.53,2.55
2016-08-11,2.57,2.60,2.56,2.58
2016-08-12,2.57,2.59,2.56,2.59
2016-08-15,2.60,2.64,2.59,2.62
2016-08-16,2.60,2.61,2.57,2.58
2016-08-17,2.58,2.59,2.54,2.59
2016-08-18,2.58,2.60,2.57,2.59
2016-08-19,2.58,2.61,2.56,2.59
2016-08-22,2.58,2.61,2.56,2.59
2016-08-23,2.62,2.64,2.61,2.61
2016-08-24,2.60,2.61,2.53,2.56
2016-08-25,2.54,2.57,2.53,2.54
2016-08-26,2.55,2.61,2.51,2.56
2016-08-29,2.56,2.59,2.56,2.56
2016-08-30,2.55,2.58,2.52,2.54
2016-08-31,2.53,2.54,2.50,2.53
2016-09-01,2.54,2.56,2.50,2.55
2016-09-02,2.59,2.61,2.55,2.58
2016-09-06,2.59,2.63,2.57,2.62
2016-09-07,2.63,2.64,2.60,2.63
2016-09-08,2.61,2.61,2.56,2.58
2016-09-09,2.52,2.54,2.38,2.38
2016-09-12,2.35,2.53,2.35,2.51
2016-09-13,2.48,2.50,2.41,2.45
2016-09-14,2.46,2.52,2.45,2.48
2016-09-15,2.49,2.61,2.48,2.60
2016-09-16,2.59,2.60,2.56,2.59
2016-09-19,2.61,2.64,2.55,2.56
2016-09-20,2.59,2.61,2.56,2.57
2016-09-21,2.61,2.66,2.56,2.65
2016-09-22,2.70,2.72,2.69,2.71
2016-09-23,2.70,2.70,2.65,2.66
2016-09-26,2.62,2.63,2.58,2.60
2016-09-27,2.59,2.67,2.58,2.67
2016-09-28,2.68,2.69,2.64,2.68
2016-09-29,2.67,2.69,2.59,2.63
2016-09-30,2.65,2.71,2.64,2.68
2016-10-03,2.67,2.68,2.64,2.68
2016-10-04,2.69,2.71,2.63,2.66
2016-10-05,2.68,2.71,2.68,2.69
2016-10-06,2.68,2.70,2.65,2.68
2016-10-07,2.69,2.70,2.63,2.67
2016-10-10,2.71,2.74,2.70,2.71
2016-10-11,2.71,2.71,2.57,2.60
2016-10-12,2.60,2.62,2.57,2.60
2016-10-13,2.54,2.59,2.50,2.57
2016-10-14,2.60,2.63,2.57,2.57
2016-10-17,2.57,2.58,2.54,2.55
2016-10-18,2.64,2.66,2.62,2.62
2016-10-19,2.61,2.63,2.61,2.62
