date,open,high,low,close
2016-01-04,9.89,9.99,9.62,9.99
2016-01-05,10.05,10.12,9.84,10.04
2016-01-06,9.59,9.84,9.48,9.66
2016-01-07,9.16,9.45,8.90,8.96
2016-01-08,9.14,9.21,8.62,8.66
2016-01-11,8.81,8.86,8.38,8.68
2016-01-12,8.92,9.02,8.56,8.90
2016-01-13,9.01,9.07,8.17,8.23
2016-01-14,8.33,8.81,8.08,8.63
2016-01-15,7.95,8.21,7.77,8.07
2016-01-19,8.36,8.37,7.87,8.11
2016-01-20,7.73,8.04,7.20,7.81
2016-01-21,7.88,8.20,7.68,7.92
2016-01-22,8.32,8.44,8.21,8.42
2016-01-25,8.33,8.36,8.00,8.04
2016-01-26,8.13,8.40,8.08,8.36
2016-01-27,8.29,8.54,7.95,8.09
2016-01-28,8.31,8.35,7.96,8.22
2016-01-29,8.33,8.83,8.32,8.83
2016-02-01,8.64,8.93,8.56,8.80
2016-02-02,8.56,8.57,8.24,8.33
2016-02-03,8.49,8.54,7.92,8.47
2016-02-04,8.40,8.66,8.30,8.51
2016-02-05,8.42,8.44,7.93,8.02
2016-02-08,7.74,7.79,7.37,7.69
2016-02-09,7.44,7.89,7.43,7.69
2016-02-10,7.83,8.06,7.66,7.68
2016-02-11,7.31,7.53,7.16,7.40
2016-02-12,7.63,7.84,7.51,7.84
2016-02-16,8.12,8.24,7.97,8.23
2016-02-17,8.41,8.70,8.39,8.63
2016-02-18,8.68,8.69,8.48,8.53
2016-02-19,8.41,8.54,8.31,8.53
2016-02-22,8.77,8.91,8.76,8.88
2016-02-23,8.79,8.83,8.53,8.56
2016-02-24,8.32,8.71,8.15,8.67
2016-02-25,8.74,8.98,8.62,8.98
2016-02-26,9.13,9.14,8.90,8.93
2016-02-29,8.94,9.08,8.68,8.68
2016-03-01,8.91,9.33,8.83,9.33
2016-03-02,9.28,9.46,9.20,9.46
2016-03-03,9.42,9.56,9.32,9.55
2016-03-04,9.60,9.78,9.46,9.65
2016-03-07,9.50,9.75,9.48,9.67
2016-03-08,9.49,9.58,9.33,9.35
2016-03-09,9.50,9.55,9.36,9.50
2016-03-10,9.58,9.74,9.21,9.51
2016-03-11,9.76,9.99,9.75,9.98
2016-03-14,9.89,10.02,9.83,9.94
2016-03-15,9.78,9.90,9.73,9.90
2016-03-16,9.80,10.13,9.80,10.08
2016-03-17,10.05,10.34,9.98,10.26
2016-03-18,10.33,10.44,10.29,10.38
2016-03-21,10.33,10.46,10.29,10.42
2016-03-22,10.28,10.50,10.25,10.41
2016-03-23,10.33,10.36,10.16,10.21
2016-03-24,10.00,10.19,9.97,10.18
2016-03-28,10.26,10.29,10.12,10.21
2016-03-29,10.12,10.50,10.07,10.50
2016-03-30,10.65,10.75,10.55,10.62
2016-03-31,10.61,10.68,10.51,10.55
2016-04-01,10.35,10.79,10.30,10.75
2016-04-04,10.75,10.77,10.59,10.65
2016-04-05,10.42,10.49,10.29,10.34
2016-04-06,10.35,10.68,10.30,10.66
2016-04-07,10.46,10.53,10.15,10.29
2016-04-08,10.49,10.57,10.27,10.37
2016-04-11,10.49,10.60,10.28,10.29
2016-04-12,10.33,10.63,10.25,10.58
2016-04-13,10.73,10.91,10.72,10.89
2016-04-14,10.91,10.99,10.84,10.90
2016-04-15,10.90,10.92,10.80,10.85
2016-04-18,10.76,11.10,10.74,11.09
2016-04-19,11.17,11.24,11.04,11.20
2016-04-20,11.20,11.36,11.11,11.22
2016-04-21,11.22,11.25,10.99,11.05
2016-04-22,10.98,11.09,10.88,11.05
2016-04-25,10.94,10.99,10.82,10.99
2016-04-26,11.05,11.13,10.95,11.05
2016-04-27,10.96,11.18,10.90,11.11
2016-04-28,10.96,11.17,10.72,10.81
2016-04-29,10.68,10.75,10.42,10.63
2016-05-02,10.72,10.91,10.64,10.87
2016-05-03,10.65,10.69,10.45,10.59
2016-05-04,10.41,10.54,10.32,10.40
2016-05-05,10.50,10.56,10.33,10.41
2016-05-06,10.27,10.53,10.24,10.51
2016-05-09,10.49,10.62,10.46,10.55
2016-05-10,10.67,10.94,10.66,10.94
2016-05-11,10.85,10.92,10.63,10.64
2016-05-12,10.76,10.78,10.45,10.63
2016-05-13,10.59,10.68,10.30,10.35
2016-05-16,10.39,10.75,10.38,10.66
2016-05-17,10.62,10.66,10.27,10.37
2016-05-18,10.30,10.58,10.18,10.38
2016-05-19,10.24,10.32,10.05,10.27
2016-05-20,10.38,10.55,10.36,10.46
2016-05-23,10.46,10.51,10.38,10.41
2016-05-24,10.56,10.88,10.56,10.82
2016-05-25,10.94,11.11,10.93,11.04
2016-05-26,11.07,11.11,10.99,11.05
2016-05-27,11.08,11.19,11.07,11.18
2016-05-31,11.24,11.26,11.02,11.13
2016-06-01,11.01,11.23,10.97,11.19
2016-06-02,11.12,11.30,11.03,11.30
2016-06-03,11.19,11.26,10.96,11.20
2016-06-06,11.26,11.43,11.23,11.37
2016-06-07,11.39,11.52,11.39,11.41
2016-06-08,11.44,11.55,11.42,11.52
2016-06-09,11.39,11.50,11.34,11.48
2016-06-10,11.21,11.28,11.05,11.15
2016-06-13,11.03,11.20,10.88,10.90
2016-06-14,10.83,10.94,10.65,10.84
2016-06-15,10.90,11.01,10.75,10.78
2016-06-16,10.61,10.91,10.44,10.88
2016-06-17,10.86,10.86,10.63,10.76
2016-06-20,11.12,11.24,10.95,10.96
2016-06-21,11.03,11.13,10.95,11.05
2016-06-22,11.06,11.20,10.96,10.98
2016-06-23,11.24,11.42,11.17,11.41
2016-06-24,10.23,10.78,10.10,10.18
2016-06-27,9.94,9.94,9.50,9.62
2016-06-28,9.91,10.15,9.86,10.15
2016-06-29,10.40,10.71,10.38,10.68
2016-06-30,10.75,11.12,10.65,11.09
2016-07-01,11.09,11.27,11.08,11.17
2016-07-05,11.02,11.04,10.82,10.94
2016-07-06,10.84,11.15,10.72,11.13
2016-07-07,11.17,11.29,10.97,11.10
2016-07-08,11.35,11.65,11.31,11.60
2016-07-11,11.70,11.84,11.65,11.72
2016-07-12,11.91,12.04,11.87,11.98
2016-07-13,12.06,12.07,11.88,11.98
2016-07-14,12.22,12.27,12.10,12.16
2016-07-15,12.28,12.29,12.04,12.13
2016-07-18,12.15,12.26,12.10,12.23
2016-07-19,12.14,12.19,12.09,12.18
2016-07-20,12.28,12.38,12.19,12.34
2016-07-21,12.31,12.36,12.11,12.20
2016-07-22,12.22,12.37,12.17,12.36
2016-07-25,12.32,12.33,12.14,12.27
2016-07-26,12.24,12.34,12.11,12.27
2016-07-27,12.35,12.36,12.08,12.24
2016-07-28,12.20,12.33,12.11,12.28
2016-07-29,12.23,12.40,12.17,12.33
2016-08-01,12.35,12.42,12.21,12.30
2016-08-02,12.25,12.28,11.90,12.06
2016-08-03,12.04,12.18,11.99,12.17
2016-08-04,12.19,12.27,12.11,12.21
2016-08-05,12.34,12.51,12.32,12.51
2016-08-08,12.55,12.57,12.43,12.49
2016-08-09,12.50,12.60,12.44,12.50
2016-08-10,12.53,12.54,12.34,12.41
2016-08-11,12.52,12.63,12.46,12.59
2016-08-12,12.51,12.59,12.47,12.55
2016-08-15,12.62,12.73,12.62,12.67
2016-08-16,12.57,12.58,12.46,12.46
2016-08-17,12.46,12.55,12.30,12.53
2016-08-18,12.53,12.62,12.50,12.61
2016-08-19,12.51,12.59,12.42,12.56
2016-08-22,12.51,12.60,12.43,12.55
2016-08-23,12.68,12.74,12.62,12.62
2016-08-24,12.60,12.62,12.35,12.45
2016-08-25,12.35,12.49,12.32,12.39
2016-08-26,12.44,12.65,12.16,12.34
