date,open,high,low,close
2015-07-06,2073.95,2078.61,2058.40,2068.76
2015-07-07,2069.52,2083.74,2044.02,2081.34
2015-07-08,2077.66,2077.66,2044.66,2046.68
2015-07-09,2049.73,2074.28,2049.73,2051.31
2015-07-10,2052.74,2081.31,2052.74,2076.62
2015-07-13,2080.03,2100.67,2080.03,2099.60
2015-07-14,2099.72,2111.98,2098.18,2108.95
2015-07-15,2109.01,2114.14,2102.49,2107.40
2015-07-16,2110.55,2124.42,2110.55,2124.29
2015-07-17,2126.80,2128.91,2119.88,2126.64
2015-07-20,2126.85,2132.82,2123.66,2128.28
2015-07-21,2127.55,2128.49,2115.40,2119.21
2015-07-22,2118.21,2118.51,2110.00,2114.15
2015-07-23,2114.16,2116.87,2098.63,2102.15
2015-07-24,2102.24,2106.01,2077.09,2079.65
2015-07-27,2078.19,2078.19,2063.52,2067.64
2015-07-28,2070.75,2095.60,2069.09,2093.25
2015-07-29,2094.70,2110.60,2094.08,2108.57
2015-07-30,2106.78,2110.48,2094.97,2108.63
2015-07-31,2111.60,2114.24,2102.07,2103.84
2015-08-03,2104.49,2105.70,2087.31,2098.04
2015-08-04,2097.68,2102.51,2088.60,2093.32
2015-08-05,2095.27,2112.66,2095.27,2099.84
2015-08-06,2100.75,2103.32,2075.53,2083.56
2015-08-07,2082.61,2082.61,2067.91,2077.57
2015-08-10,2080.98,2105.35,2080.98,2104.18
2015-08-11,2102.66,2102.66,2076.49,2084.07
2015-08-12,2081.10,2089.06,2052.09,2086.05
2015-08-13,2086.19,2092.93,2078.26,2083.39
2015-08-14,2083.15,2092.45,2080.61,2091.54
2015-08-17,2089.70,2102.87,2079.30,2102.44
2015-08-18,2101.99,2103.47,2094.14,2096.92
2015-08-19,2095.69,2096.17,2070.53,2079.61
2015-08-20,2076.61,2076.61,2035.73,2035.73
2015-08-21,2034.08,2034.08,1970.89,1970.89
2015-08-24,1965.15,1965.15,1867.01,1893.21
2015-08-25,1898.08,1948.04,1867.08,1867.61
2015-08-26,1872.75,1943.09,1872.75,1940.51
2015-08-27,1942.77,1989.60,1942.77,1987.66
2015-08-28,1986.06,1993.48,1975.19,1988.87
2015-08-31,1986.73,1986.73,1965.98,1972.18
2015-09-01,1970.09,1970.09,1903.07,1913.85
2015-09-02,1916.52,1948.91,1916.52,1948.86
2015-09-03,1950.79,1975.01,1944.72,1951.13
2015-09-04,1947.76,1947.76,1911.21,1921.22
2015-09-08,1927.30,1970.42,1927.30,1969.41
2015-09-09,1971.45,1988.63,1937.88,1942.04
2015-09-10,1941.59,1965.29,1937.19,1952.29
2015-09-11,1951.45,1961.05,1939.19,1961.05
2015-09-14,1963.06,1963.06,1948.27,1953.03
2015-09-15,1955.10,1983.19,1954.30,1978.09
2015-09-16,1978.02,1997.26,1977.93,1995.31
2015-09-17,1995.33,2020.86,1986.73,1990.20
2015-09-18,1989.66,1989.66,1953.45,1958.03
2015-09-21,1960.84,1979.64,1955.80,1966.97
2015-09-22,1961.39,1961.39,1929.22,1942.74
2015-09-23,1943.24,1949.52,1932.57,1938.76
2015-09-24,1934.81,1937.17,1908.92,1932.24
2015-09-25,1935.93,1952.89,1921.50,1931.34
2015-09-28,1929.18,1929.18,1879.21,1881.77
2015-09-29,1881.90,1899.48,1871.91,1884.09
2015-09-30,1887.14,1920.53,1887.14,1920.03
2015-10-01,1919.65,1927.21,1900.70,1923.82
2015-10-02,1921.77,1951.36,1893.70,1951.36
2015-10-05,1954.33,1989.17,1954.33,1987.05
2015-10-06,1986.63,1991.62,1971.99,1979.92
2015-10-07,1982.34,1999.31,1976.44,1995.83
2015-10-08,1994.01,2016.50,1987.53,2013.43
2015-10-09,2013.73,2020.13,2007.61,2014.89
2015-10-12,2015.65,2018.66,2010.55,2017.46
2015-10-13,2015.00,2022.34,2001.78,2003.69
2015-10-14,2003.66,2009.56,1990.73,1994.24
2015-10-15,1996.47,2024.15,1996.47,2023.86
2015-10-16,2024.37,2033.54,2020.46,2033.11
2015-10-19,2031.73,2034.45,2022.31,2033.66
2015-10-20,2033.13,2039.12,2026.61,2030.77
2015-10-21,2033.47,2037.97,2017.22,2018.94
2015-10-22,2021.88,2055.20,2021.88,2052.51
2015-10-23,2058.19,2079.74,2058.19,2075.15
2015-10-26,2075.08,2075.14,2066.53,2071.18
2015-10-27,2068.75,2070.37,2058.84,2065.89
2015-10-28,2066.48,2090.35,2063.11,2090.35
2015-10-29,2088.35,2092.52,2082.63,2089.41
2015-10-30,2090.00,2094.32,2079.34,2079.36
2015-11-02,2080.76,2106.20,2080.76,2104.05
2015-11-03,2102.63,2116.48,2097.51,2109.79
2015-11-04,2110.60,2114.59,2096.98,2102.31
2015-11-05,2101.68,2108.78,2090.41,2099.93
2015-11-06,2098.60,2101.91,2083.74,2099.20
2015-11-09,2096.56,2096.56,2068.24,2078.58
2015-11-10,2077.19,2083.67,2069.91,2081.72
2015-11-11,2083.41,2086.94,2074.85,2075.00
2015-11-12,2072.29,2072.29,2045.66,2045.97
2015-11-13,2044.64,2044.64,2022.02,2023.04
2015-11-16,2022.08,2053.22,2019.39,2053.19
2015-11-17,2053.67,2066.69,2045.90,2050.44
2015-11-18,2051.99,2085.31,2051.99,2083.58
2015-11-19,2083.70,2086.74,2078.76,2081.24
2015-11-20,2082.82,2097.06,2082.82,2089.17
2015-11-23,2089.41,2095.61,2081.39,2086.59
2015-11-24,2084.42,2094.12,2070.29,2089.14
2015-11-25,2089.30,2093.00,2086.30,2088.87
2015-11-27,2088.82,2093.29,2084.13,2090.11
2015-11-30,2090.95,2093.81,2080.41,2080.41
2015-12-01,2082.93,2103.37,2082.93,2102.63
2015-12-02,2101.71,2104.27,2077.11,2079.51
2015-12-03,2080.71,2085.00,2042.35,2049.62
2015-12-04,2051.24,2093.84,2051.24,2091.69
2015-12-07,2090.42,2090.42,2066.78,2077.07
2015-12-08,2073.39,2073.85,2052.32,2063.59
2015-12-09,2061.17,2080.33,2036.53,2047.62
2015-12-10,2047.93,2067.65,2045.67,2052.23
2015-12-11,2047.27,2047.27,2008.80,2012.37
2015-12-14,2013.37,2022.92,1993.26,2021.94
2015-12-15,2025.55,2053.87,2025.55,2043.41
2015-12-16,2046.50,2076.72,2042.43,2073.07
2015-12-17,2073.76,2076.37,2041.66,2041.89
2015-12-18,2040.81,2040.81,2005.33,2005.55
2015-12-21,2010.27,2022.90,2005.93,2021.15
2015-12-22,2023.15,2042.74,2020.49,2038.97
2015-12-23,2042.20,2064.73,2042.20,2064.29
2015-12-24,2063.52,2067.36,2058.73,2060.99
2015-12-28,2057.77,2057.77,2044.20,2056.50
2015-12-29,2060.54,2081.56,2060.54,2078.36
2015-12-30,2077.34,2077.34,2061.97,2063.36
2015-12-31,2060.59,2062.54,2043.62,2043.94
2016-01-04,2038.20,2038.20,1989.68,2012.66
2016-01-05,2013.78,2021.94,2004.17,2016.71
2016-01-06,2011.71,2011.71,1979.05,1990.26
2016-01-07,1985.32,1985.32,1938.83,1943.09
2016-01-08,1945.97,1960.40,1918.46,1922.03
2016-01-11,1926.12,1935.65,1901.10,1923.67
2016-01-12,1927.83,1947.38,1914.35,1938.68
2016-01-13,1940.34,1950.33,1886.41,1890.28
2016-01-14,1891.68,1934.47,1878.93,1921.84
2016-01-15,1916.68,1916.68,1857.83,1880.33
2016-01-19,1888.66,1901.44,1864.60,1881.33
2016-01-20,1876.18,1876.18,1812.29,1859.33
2016-01-21,1861.46,1889.85,1848.98,1868.99
2016-01-22,1877.40,1908.85,1877.40,1906.90
2016-01-25,1906.28,1906.28,1875.97,1877.08
2016-01-26,1878.79,1906.73,1878.79,1903.63
2016-01-27,1902.52,1916.99,1872.70,1882.95
2016-01-28,1885.22,1902.96,1873.65,1893.36
2016-01-29,1894.00,1940.24,1894.00,1940.24
2016-02-01,1936.94,1947.20,1920.30,1939.38
2016-02-02,1935.26,1935.26,1897.29,1903.03
2016-02-03,1907.07,1918.01,1872.23,1912.53
2016-02-04,1911.67,1927.35,1900.52,1915.45
2016-02-05,1913.07,1913.07,1872.65,1880.05
2016-02-08,1873.25,1873.25,1828.46,1853.44
2016-02-09,1848.46,1868.25,1834.94,1852.21
2016-02-10,1857.10,1881.60,1850.32,1851.86
2016-02-11,1847.00,1847.00,1810.10,1829.08
2016-02-12,1833.40,1864.78,1833.40,1864.78
2016-02-16,1871.44,1895.77,1871.44,1895.58
2016-02-17,1898.80,1930.68,1898.80,1926.82
2016-02-18,1927.57,1930.00,1915.09,1917.83
2016-02-19,1916.74,1918.78,1902.17,1917.78
2016-02-22,1924.44,1946.70,1924.44,1945.50
2016-02-23,1942.38,1942.38,1919.44,1921.27
2016-02-24,1917.56,1932.08,1891.00,1929.80
2016-02-25,1931.87,1951.83,1925.41,1951.70
2016-02-26,1954.95,1962.96,1945.78,1948.05
2016-02-29,1947.13,1958.27,1931.81,1932.23
2016-03-01,1937.09,1978.35,1937.09,1978.35
2016-03-02,1976.60,1986.51,1968.80,1986.45
2016-03-03,1985.60,1993.69,1977.37,1993.40
2016-03-04,1994.01,2009.13,1986.77,1999.99
2016-03-07,1996.11,2006.12,1989.38,2001.76
2016-03-08,1996.88,1996.88,1977.43,1979.26
2016-03-09,1981.44,1992.69,1979.84,1989.26
2016-03-10,1990.97,2005.08,1969.25,1989.57
2016-03-11,1994.71,2022.37,1994.71,2022.19
2016-03-14,2019.27,2024.57,2012.05,2019.64
2016-03-15,2015.27,2015.94,2005.23,2015.93
2016-03-16,2014.24,2032.02,2010.04,2027.22
2016-03-17,2026.90,2046.24,2022.16,2040.59
2016-03-18,2041.16,2052.36,2041.16,2049.58
2016-03-21,2047.88,2053.91,2043.14,2051.60
2016-03-22,2048.64,2056.60,2040.57,2049.80
2016-03-23,2048.55,2048.55,2034.86,2036.71
2016-03-24,2032.48,2036.04,2022.49,2035.94
2016-03-28,2037.89,2042.67,2031.96,2037.05
2016-03-29,2035.75,2055.91,2028.31,2055.01
2016-03-30,2058.27,2072.21,2058.27,2063.95
2016-03-31,2063.77,2067.92,2057.46,2059.74
2016-04-01,2056.62,2075.07,2043.98,2072.78
2016-04-04,2073.19,2074.02,2062.57,2066.13
2016-04-05,2062.50,2062.50,2042.56,2045.17
2016-04-06,2045.56,2067.33,2043.09,2066.66
2016-04-07,2063.01,2063.01,2033.80,2041.91
2016-04-08,2045.54,2060.63,2041.69,2047.60
2016-04-11,2050.23,2062.93,2041.88,2041.99
2016-04-12,2043.72,2065.05,2039.74,2061.72
2016-04-13,2065.92,2083.18,2065.92,2082.42
2016-04-14,2082.89,2087.84,2078.13,2082.78
2016-04-15,2083.10,2083.22,2076.31,2080.73
2016-04-18,2078.83,2094.66,2073.65,2094.34
2016-04-19,2096.05,2104.05,2091.68,2100.80
2016-04-20,2101.52,2111.05,2096.32,2102.40
2016-04-21,2102.09,2103.78,2088.52,2091.48
2016-04-22,2091.49,2094.32,2081.20,2091.58
2016-04-25,2089.37,2089.37,2077.52,2087.79
2016-04-26,2089.84,2096.87,2085.80,2091.70
