交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2024/10/01,TX,202410  ,22246,22463,22228,22391,65,0.29%,57504,22391,80872,22390,22398,23578,18900,,一般,,
2024/10/01,TX,202410  ,22334,22435,22006,22210,-116,-0.52%,72570,-,-,22202,22211,23578,18900,,盤後,,
2024/10/01,TX,202411  ,22257,22478,22256,22404,51,0.23%,465,22404,2789,22408,22418,23410,20599,,一般,,
2024/10/01,TX,202411  ,22363,22438,22023,22233,-120,-0.54%,438,-,-,22219,22232,23410,20599,,盤後,,
2024/10/01,TX,202412  ,22268,22452,22268,22418,58,0.26%,112,22418,748,22415,22424,24463,16885,,一般,,
2024/10/01,TX,202412  ,22440,22455,22100,22190,-170,-0.76%,79,-,-,22226,22238,24463,16885,,盤後,,
2024/10/01,TX,202503  ,22383,22472,22383,22398,39,0.17%,6,22428,370,22420,22436,24435,18886,,一般,,
2024/10/01,TX,202503  ,-,-,-,-,-,-,0,-,-,22231,22243,24435,18886,,盤後,,
2024/10/01,TX,202506  ,22397,22398,22397,22398,29,0.13%,2,22439,208,22429,22449,24547,19133,,一般,,
2024/10/01,TX,202506  ,22250,22318,22169,22217,-152,-0.68%,7,-,-,22239,22262,24547,19133,,盤後,,
2024/10/01,TX,202509  ,22234,22234,22234,22234,72,0.32%,1,22234,75,22209,22256,23180,21377,,一般,,
2024/10/01,TX,202509  ,22122,22122,22122,22122,-40,-0.18%,1,-,-,22022,22065,23180,21377,,盤後,,
2024/10/04,TX,202410  ,22331,22507,22250,22284,-107,-0.48%,83107,22288,79065,22281,22288,23578,18900,,一般,,
2024/10/04,TX,202410  ,22403,22439,21889,22100,-291,-1.30%,90035,-,-,22103,22107,23578,18900,,盤後,,
2024/10/04,TX,202411  ,22347,22527,22278,22305,-99,-0.44%,985,22306,3390,22301,22311,23410,20599,,一般,,
2024/10/04,TX,202411  ,22417,22453,21920,22114,-290,-1.29%,998,-,-,22122,22130,23410,20599,,盤後,,
2024/10/04,TX,202412  ,22364,22531,22304,22350,-68,-0.30%,133,22320,850,22315,22326,24463,16885,,一般,,
2024/10/04,TX,202412  ,22378,22460,21939,22116,-302,-1.35%,98,-,-,22139,22148,24463,16885,,盤後,,
2024/10/04,TX,202503  ,22375,22528,22293,22293,-135,-0.60%,10,22325,367,22318,22332,24435,18886,,一般,,
2024/10/04,TX,202503  ,22470,22475,21949,22200,-228,-1.02%,13,-,-,22143,22156,24435,18886,,盤後,,
2024/10/04,TX,202506  ,22382,22516,22324,22435,-4,-0.02%,8,22335,206,22326,22345,24547,19133,,一般,,
2024/10/04,TX,202506  ,22429,22429,22000,22165,-274,-1.22%,19,-,-,22145,22168,24547,19133,,盤後,,
2024/10/04,TX,202509  ,22230,22230,22230,22230,-4,-0.02%,1,22121,76,22101,22141,23180,21377,,一般,,
2024/10/04,TX,202509  ,22231,22231,22203,22203,-31,-0.14%,2,-,-,21928,21977,23180,21377,,盤後,,
2024/10/07,TX,202410  ,22570,22808,22539,22779,491,2.20%,76667,22767,82989,22776,22780,23578,18900,,一般,,
2024/10/07,TX,202410  ,22324,22660,22237,22522,234,1.05%,77852,-,-,22522,22526,23578,18900,,盤後,,
2024/10/07,TX,202411  ,22591,22820,22570,22799,493,2.21%,1033,22798,3541,22798,22805,23410,20599,,一般,,
2024/10/07,TX,202411  ,22324,22678,22274,22549,243,1.09%,859,-,-,22544,22552,23410,20599,,盤後,,
2024/10/07,TX,202412  ,22623,22837,22588,22804,484,2.17%,83,22804,849,22810,22820,24463,16885,,一般,,
2024/10/07,TX,202412  ,22340,22676,22300,22561,241,1.08%,84,-,-,22557,22566,24463,16885,,盤後,,
2024/10/07,TX,202503  ,22700,22823,22668,22823,498,2.23%,12,22823,368,22814,22826,24435,18886,,一般,,
2024/10/07,TX,202503  ,22398,22650,22398,22618,293,1.31%,4,-,-,22558,22572,24435,18886,,盤後,,
2024/10/07,TX,202506  ,22617,22655,22607,22655,320,1.43%,4,22826,207,22819,22834,24547,19133,,一般,,
2024/10/07,TX,202506  ,22580,22580,22460,22564,229,1.03%,5,-,-,22563,22583,24547,19133,,盤後,,
2024/10/07,TX,202509  ,-,-,-,-,-,-,0,22626,76,22614,22638,23180,21377,,一般,,
2024/10/07,TX,202509  ,-,-,-,-,-,-,0,-,-,22345,22381,23180,21377,,盤後,,
2024/10/08,TX,202410  ,22606,22634,22392,22575,-192,-0.84%,73369,22578,77985,22575,22582,23578,18900,,一般,,
2024/10/08,TX,202410  ,22751,22757,22453,22560,-207,-0.91%,57793,-,-,22559,22570,23578,18900,,盤後,,
2024/10/08,TX,202411  ,22631,22660,22430,22618,-180,-0.79%,1468,22618,3993,22603,22613,23410,20599,,一般,,
2024/10/08,TX,202411  ,22790,22790,22491,22585,-213,-0.93%,1103,-,-,22586,22600,23410,20599,,盤後,,
2024/10/08,TX,202412  ,22640,22646,22460,22628,-176,-0.77%,63,22628,858,22620,22632,24463,16885,,一般,,
2024/10/08,TX,202412  ,22770,22770,22539,22545,-259,-1.14%,56,-,-,22598,22616,24463,16885,,盤後,,
2024/10/08,TX,202503  ,22550,22668,22483,22668,-155,-0.68%,13,22647,382,22643,22652,24435,18886,,一般,,
2024/10/08,TX,202503  ,22750,22750,22550,22580,-243,-1.06%,23,-,-,22611,22630,24435,18886,,盤後,,
2024/10/08,TX,202506  ,22570,22701,22490,22701,-125,-0.55%,8,22649,214,22638,22661,24547,19133,,一般,,
2024/10/08,TX,202506  ,22671,22686,22663,22686,-140,-0.61%,4,-,-,22608,22634,24547,19133,,盤後,,
2024/10/08,TX,202509  ,22340,22508,22340,22508,-118,-0.52%,13,22452,83,22440,22464,23180,21377,,一般,,
2024/10/08,TX,202509  ,22478,22509,22458,22458,-168,-0.74%,3,-,-,22409,22442,23180,21377,,盤後,,
2024/10/09,TX,202410  ,22770,22888,22666,22702,124,0.55%,66303,22699,78346,22700,22702,23578,18900,,一般,,
2024/10/09,TX,202410  ,22599,22834,22542,22791,213,0.94%,53356,-,-,22787,22791,23578,18900,,盤後,,
2024/10/09,TX,202411  ,22811,22913,22700,22735,117,0.52%,1394,22735,4627,22732,22736,23410,20599,,一般,,
2024/10/09,TX,202411  ,22609,22860,22580,22820,202,0.89%,1281,-,-,22814,22823,23410,20599,,盤後,,
2024/10/09,TX,202412  ,22808,22923,22723,22737,109,0.48%,51,22748,858,22744,22753,24463,16885,,一般,,
2024/10/09,TX,202412  ,22645,22868,22641,22868,240,1.06%,56,-,-,22832,22841,24463,16885,,盤後,,
2024/10/09,TX,202503  ,22900,22900,22744,22744,97,0.43%,9,22769,386,22764,22775,24435,18886,,一般,,
2024/10/09,TX,202503  ,22648,22852,22648,22852,205,0.91%,5,-,-,22848,22860,24435,18886,,盤後,,
2024/10/09,TX,202506  ,22908,22915,22786,22786,137,0.60%,8,22767,217,22759,22775,24547,19133,,一般,,
2024/10/09,TX,202506  ,22663,22850,22632,22850,201,0.89%,8,-,-,22846,22862,24547,19133,,盤後,,
2024/10/09,TX,202509  ,22676,22717,22676,22717,265,1.18%,4,22573,86,22565,22582,23180,21377,,一般,,
2024/10/09,TX,202509  ,22436,22640,22436,22640,188,0.84%,2,-,-,22643,22669,23180,21377,,盤後,,
2024/10/11,TX,202410  ,22829,23047,22794,22912,213,0.94%,69251,22911,77427,22912,22915,23578,18900,,一般,,
2024/10/11,TX,202410  ,22666,22836,22569,22789,90,0.40%,51693,-,-,22784,22790,23578,18900,,盤後,,
2024/10/11,TX,202411  ,22875,23092,22835,22962,227,1.00%,7659,22959,10121,22958,22963,23410,20599,,一般,,
2024/10/11,TX,202411  ,22657,22868,22609,22825,90,0.40%,1080,-,-,22818,22828,23410,20599,,盤後,,
2024/10/11,TX,202412  ,22872,23098,22860,22974,226,0.99%,135,22974,888,22975,22982,24463,16885,,一般,,
2024/10/11,TX,202412  ,22747,22880,22650,22855,107,0.47%,33,-,-,22833,22845,24463,16885,,盤後,,
2024/10/11,TX,202503  ,22900,23090,22900,22970,201,0.88%,18,22991,384,22988,22995,24435,18886,,一般,,
2024/10/11,TX,202503  ,22705,22826,22660,22818,49,0.22%,4,-,-,22850,22865,24435,18886,,盤後,,
2024/10/11,TX,202506  ,23069,23096,23069,23078,311,1.37%,10,22997,226,22987,23007,24547,19133,,一般,,
2024/10/11,TX,202506  ,22820,22820,22820,22820,53,0.23%,1,-,-,22851,22870,24547,19133,,盤後,,
2024/10/11,TX,202509  ,22876,22903,22869,22885,312,1.38%,13,22803,94,22791,22815,23180,21377,,一般,,
2024/10/11,TX,202509  ,-,-,-,-,-,-,0,-,-,22655,22678,23180,21377,,盤後,,
2024/10/14,TX,202410  ,22987,23049,22818,23008,97,0.42%,85874,23005,51580,23008,23012,23578,18900,,一般,,
2024/10/14,TX,202410  ,22911,23076,22817,23040,129,0.56%,40044,-,-,23035,23040,23578,18900,,盤後,,
2024/10/14,TX,202411  ,23031,23110,22876,23073,114,0.50%,35275,23063,35698,23067,23070,23410,20599,,一般,,
2024/10/14,TX,202411  ,22942,23116,22870,23084,125,0.54%,1509,-,-,23082,23087,23410,20599,,盤後,,
2024/10/14,TX,202412  ,23067,23118,22898,23071,97,0.42%,82,23087,904,23085,23090,24463,16885,,一般,,
2024/10/14,TX,202412  ,22950,23132,22897,23100,126,0.55%,60,-,-,23095,23107,24463,16885,,盤後,,
2024/10/14,TX,202503  ,23061,23085,22925,23085,94,0.41%,30,23085,365,23080,23092,24435,18886,,一般,,
2024/10/14,TX,202503  ,22956,23130,22956,23130,139,0.60%,29,-,-,23097,23119,24435,18886,,盤後,,
2024/10/14,TX,202506  ,23096,23129,23061,23115,118,0.51%,13,23115,238,23115,23121,24547,19133,,一般,,
2024/10/14,TX,202506  ,23082,23129,23082,23129,132,0.57%,3,-,-,23111,23132,24547,19133,,盤後,,
