date,contract,close,volume
1999-01-05,199901,6120.0,5058
1999-01-05,199902,6147.0,321
1999-01-05,199903,6155.0,134
1999-01-05,199906,6200.0,6
1999-01-05,199909,6200.0,6
1999-01-06,199901,6245.0,5903
1999-01-06,199902,6250.0,380
1999-01-06,199903,6249.0,86
1999-01-06,199906,6215.0,5
1999-01-06,199909,6080.0,1
1999-01-07,199901,6510.0,5515
1999-01-07,199902,6510.0,547
1999-01-07,199903,6510.0,102
1999-01-07,199906,6489.0,3
1999-01-08,199901,6452.0,4385
1999-01-08,199902,6450.0,563
1999-01-08,199903,6451.0,158
1999-01-11,199901,6435.0,2558
1999-01-11,199902,6449.0,288
1999-01-11,199903,6455.0,40
1999-01-12,199901,6390.0,3195
1999-01-12,199902,6381.0,364
1999-01-12,199903,6382.0,43
1999-01-13,199901,6352.0,2693
1999-01-13,199902,6340.0,617
1999-01-13,199903,6349.0,64
1999-01-13,199906,6350.0,1
1999-01-14,199901,6280.0,2775
1999-01-14,199902,6270.0,609
1999-01-14,199903,6259.0,57
1999-01-14,199906,6255.0,2
1999-01-15,199901,6600.0,3923
1999-01-15,199902,6610.0,1707
1999-01-15,199903,6600.0,151
1999-01-15,199906,6575.0,2
1999-01-16,199901,6530.0,2442
1999-01-16,199902,6565.0,2271
1999-01-16,199903,6550.0,125
1999-01-16,199906,6560.0,8
1999-01-18,199901,6412.0,885
1999-01-18,199902,6445.0,2273
1999-01-18,199903,6462.0,93
1999-01-19,199901,6385.0,932
1999-01-19,199902,6433.0,2791
1999-01-19,199903,6440.0,108
1999-01-19,199906,6412.0,9
1999-01-20,199901,6321.0,1015
1999-01-20,199902,6405.0,2372
1999-01-20,199903,6400.0,131
1999-01-20,199906,6400.0,3
1999-01-21,199902,6417.0,4800
1999-01-21,199903,6430.0,194
1999-01-21,199906,6420.0,1
1999-01-21,199909,6520.0,6
1999-01-22,199902,6285.0,3985
1999-01-22,199903,6319.0,197
1999-01-22,199906,6330.0,3
1999-01-22,199912,6320.0,5
1999-01-25,199902,6040.0,3424
1999-01-25,199903,6088.0,247
1999-01-25,199906,6100.0,13
1999-01-26,199902,6220.0,5115
1999-01-26,199903,6220.0,265
1999-01-26,199906,6238.0,18
1999-01-27,199902,6145.0,3969
1999-01-27,199903,6152.0,247
1999-01-27,199906,6200.0,12
1999-01-28,199902,6070.0,3359
1999-01-28,199903,6095.0,254
1999-01-28,199906,6120.0,6
1999-01-28,199912,6150.0,2
1999-01-29,199902,6080.0,3691
1999-01-29,199903,6071.0,310
1999-01-29,199906,6120.0,15
1999-01-29,199909,6099.0,3
1999-01-29,199912,6105.0,6
1999-01-30,199902,6110.0,5084
